?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMCID:PMC3190904"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:24078381"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25184212"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:22753103"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25833640"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:26914170"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:24283474"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:27534448"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:21525001"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25966413"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:26066782"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:26551751"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25071917"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25056782"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:27460290"
<http://purl.obolibrary.org/obo/CHEBI_133602>	"PMID:25451823"
<http://purl.obolibrary.org/obo/CHEBI_68452>	"Wikipedia:Azole"
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Wikipedia:Cyclic_compound"
<http://purl.obolibrary.org/obo/CHEBI_28798>	"KEGG:C02321"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"PDBeChem:CYN"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"PMID:14871577"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"Wikipedia:Cyanide"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"CAS:57-12-5"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"Beilstein:1900509"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"KEGG:C00177"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"PMID:7839575"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"Gmelin:89"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"PMID:11386635"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"HMDB:HMDB0002084"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"MetaCyc:CPD-13584"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"PMID:17554165"
<http://purl.obolibrary.org/obo/CHEBI_17514>	"Reaxys:1900509"
<http://purl.obolibrary.org/obo/CHEBI_51143>	"KEGG:C06061"
<http://purl.obolibrary.org/obo/CHEBI_33261>	"Wikipedia:Organosulfur_compounds"
<http://purl.obolibrary.org/obo/CHEBI_33415>	"CAS:82600-58-6"
<http://purl.obolibrary.org/obo/CHEBI_33415>	"CAS:7440-44-0"
<http://purl.obolibrary.org/obo/CHEBI_33415>	"Gmelin:8868"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"PMID:26803751"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"PMID:24291665"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"CAS:1333-86-4"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"Wikipedia:Carbon_black"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"PMID:25071917"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"KEGG:C19202"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000297>	"PMID:24669321"
